Gen.Ampl,Anlr.Level A
Source 1,Data 1
dBu,dBu
10.00019335,10.01130576
8.900333837,8.907613688
7.799807394,7.800609898
6.699458906,6.698185713
5.599693585,5.595896655
4.500398942,4.49405942
3.400916538,3.408323583
2.300098594,2.30167248
1.199677169,1.201738144
0.09958507431,0.0933327852
-0.9991233609,-1.000587121
-2.100074687,-2.120490865
-3.200020972,-3.21068034
-4.299582068,-4.317214531
-5.399319655,-5.417571564
-6.499168921,-6.52527131
-7.599703288,-7.627244476
-8.699708079,-8.711536875
-9.800122228,-9.815117053
-10.89893969,-10.91355053
-11.99954504,-12.02763598
-13.10196922,-13.12221243
-14.19957712,-14.20734593
-15.2994534,-15.29392701
-16.39936399,-16.39882246
-17.50019312,-17.50047041
-18.60035842,-18.60435948
-19.70020769,-19.70608053
-20.80074205,-20.80149972
-21.90074684,-21.89435986
-23.00116099,-22.99793453
-24.09906411,-24.10452518
-25.20110278,-25.20390598
-26.29947355,-26.31171614
-27.40061589,-27.41001969
-28.49954371,-28.51769097
-29.59975685,-29.60880789
-30.70000995,-30.71226422
-31.79890088,-31.81218145
-32.89967232,-32.91019885
-33.99892221,-34.01214919
-35.10056879,-35.11423466
-36.19897739,-36.21304043
-37.30062535,-37.30620259
-38.39976932,-38.39335584
-39.49950274,-39.50370239
-40.60012666,-40.59612141
-41.6997154,-41.67531872
-42.80005749,-42.75346405
-43.90021091,-43.85338128
-44.99898886,-44.96372783
-46.10035133,-46.06734723
-47.20036929,-47.13956985
-48.29929027,-48.21827378
-49.40054218,-49.28630564
-50.49808206,-50.31950908
-51.6014858,-51.49241934
-52.6980421,-52.4893468
-53.79832843,-53.61571406
-54.89852495,-54.60542132
-56.00418977,-55.72257767
-57.09614484,-56.80973092
-58.20509968,-57.83278136
-59.30385733,-58.9926203
-60.39627634,-60.04674731
-61.49238874,-60.93082056
-62.59196734,-62.26975636
-63.6970746,-63.02552757
-64.78859371,-64.29890917
-65.89556645,-65.79158154
-67.00335796,-66.35215601
-68.0905112,-67.59511414
-69.20908693,-69.04612749
-70.30447715,-70.789131
-71.39785908,-71.81218145
-72.5274862,-71.81218145
-73.61866162,-72.97202039
-74.71037558,-74.31095618
-75.78203215,-75.8945811
-76.90435099,-77.83278136
-77.96492153,-77.83278136
-79.04455778,-80.3315561
-80.13171103,-83.85338128
-81.37466916,-83.85338128
-82.4395794,-83.85338128
-83.4390589,-83.85338128
-84.56868602,-83.85338128
-85.59173647,-83.85338128
-86.75157541,-89.87398119
-87.73593586,-89.87398119
-88.84628242,-89.87398119
-90.11966402,-89.87398119
-91.08575761,-89.87398119
,
-93.41586899,-89.87398119
-94.86688233,-89.87398119
-95.69473604,-89.87398119
-96.60988585,-89.87398119
-97.6329363,-89.87398119
