Company,Product,Pedal Type,SNR,Power Supply Voltage,Current,Input Impedance,Output Impedance,Inputs,Outputs,Extra Connections,Source,Notes
Seymour Duncan,Vapor Trail,SeymourDuncan_standard,100 dBV,9-18 VDC,11 mA,,,1,1,Send/Return TRS,https://www.seymourduncan.com/wp-content/uploads/2014/12/vaportrail_manual_USA_Rev_1_pages_web.pdf,
Seymour Duncan,Palladium,SeymourDuncan_large,124 dBV,9-18 VDC,180 mA,,,1,1,,https://www.seymourduncan.com/wp-content/uploads/2016/01/Palladium-user-manual-rev1-pages-web.pdf,
Seymour Duncan,805 Overdrive,SeymourDuncan_standard,,9-18 VDC,4.5 mA,,,1,1,,https://www.seymourduncan.com/wp-content/uploads/2015/06/11900-004_805-Overdrive_Manuals.pdf,
Seymour Duncan,Andromeda,SeymourDuncan_large,,9-18 VDC,300 mA,,,2,2,MIDI IN/THRU,https://www.seymourduncan.com/wp-content/uploads/2014/12/Andromeda-USA-Manual-V3-Digital.pdf,
BBE,Soul Vibe,BBE_standard,,9 VDC,200 mA,,,,,,https://www.zikinf.com/manuels/bbe-soul-vibe-manuel-utilisateur-en-43970.pdf,
J Rockett,Blue Note,,,9  VDC,,,,1,1,,https://rockettpedals.com/wp-content/uploads/2014/03/JRAD-Blue-Note-Manual-and-Warranty.pdf,
J Rockett,Archer,,,9 VDC,,,,1,1,,https://rockettpedals.com/wp-content/uploads/2014/08/JRAD-Archer-Manual-and-Warranty.pdf,
Tech 21,FlyRig,,,12 VDC,150 mA,,,,,,http://www.tech21nyc.com/support/manuals/sansamp/FlyRig5_OM2.pdf,Certainly Will Not Fit
Ampeg,SCR DI,,90 dB,9-12 VDC,100 mA,,,,,,https://ampeg.com/pdf/manuals/SCR-DI_OM.pdf,"DI, perhaps don't need to cover"
MXR,Prime Distortion,MXR_standard,85 dB,9 VDC,4 mA,1M,6K,1,1,,https://vidweb.aws.marketlive.com/jimdunlop_vid/text/content/pdp/manuals/M69.pdf,
MXR,Dyna Comp,MXR_standard,95 dB,9 VDC,3.3 mA,1M,10K,1,1,,https://d1aeri3ty3izns.cloudfront.net/media/23/230181/download_230181.pdf,
MXR,Reverb,MXR_standard,107 dB,9 VDC,240 mA,1M,100R,1,1,Expression,https://vidweb.aws.marketlive.com/jimdunlop_vid/text/content/pdp/manuals/M300.pdf,
MXR,10 Band EQ,MXR_large,100 dB,18 VDC,,470K,5K,1,1,,https://www.fullcompass.com/common/files/14514-UnnamedDocument.pdf,
MXR,Bass Overdrive,MXR_standard,95 dB,9 VDC,19 mA,1M,10K,1,1,,https://d1aeri3ty3izns.cloudfront.net/media/6/63595/download_63595.pdf,
MXR,Phase 90,MXR_standard,96 dB,9 VDC,5 mA,1M,10K,1,1,,https://aadl.org/files/catalog_guides/1457053_instructions.pdf,
